,service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,fee_mean,fee_std,fee_fluctuate,online_time_norm,fee_mean_norm,fee_fluctuate_norm,month_traffic_norm,contract_time_norm,pay_num_norm,last_month_traffic_norm,local_trafffic_month_norm,local_caller_time_norm,service1_caller_time_norm,service2_caller_time_norm,age_norm,former_complaint_num_norm,former_complaint_fee_norm,service1_caller_time_dimean,last_month_traffic_dimean,former_complaint_num_dimean,former_complaint_fee_dimean,user_id,fee_mean_2,fee_mean_2_norm
29767,4,1,134,144.1,117.2,208.15,246.05,1619.5295640000002,0,1,24,0,4,10,50.0,355.781234,1512.8327869999998,91.033333,0.0,150.26666699999998,1,42,0,0,0,5,178.875,50.947553000000006,33.983333,0.487179,0.038926,0.378233,0.010182,0.47169799999999995,0.002577,0.020437999999999998,0.009336,0.019784,0.0,0.023083000000000003,0.424242,0.0,0.0,0,1,0,0,3daZshX25IrpPWCo,32.4,0.617884
29781,4,0,70,266.09,756.3,385.3,419.78,4814.8212,1,0,0,0,4,4,1141.52,1614.495739,3886.072565,65.583333,0.566667,84.283333,1,37,0,0,0,12,456.8675,182.03932700000001,51.23,0.252747,0.099415,0.38603699999999996,0.030271,0.018868,0.058827,0.09274400000000001,0.023982,0.014253,0.000134,0.012947,0.373737,0.0,0.0,1,1,0,0,Ll9b136juGVUriBC,-227.865,0.568719
29838,4,0,10,73.71,403.51,149.86,144.9,2110.748618,1,3,12,0,4,4,371.29,0.0,1700.5034629999998,172.433333,0.0,183.933333,1,36,1,1,12702,13,192.995,125.21904199999999,23.73,0.032967,0.041998,0.373593,0.013269999999999999,0.245283,0.019134,0.0,0.010494,0.037474,0.0,0.028255000000000002,0.363636,0.027027,0.022442,0,0,1,1,GsIxqLjbtfXe1ZPB,-167.38,0.580145
30052,4,0,7,300.03,75.98,56.62,56.0,31122.97499,0,3,12,0,4,6,420.0,0.0,31676.99589,61.316667,18.816667000000002,61.916667000000004,0,28,0,0,0,4,122.1575,103.008454,-81.343333,0.021978,0.026585,0.326046,0.195671,0.245283,0.021644,0.0,0.195484,0.013326,0.004444,0.009511,0.282828,0.0,0.0,1,0,0,0,1xn8uACsahd7flmg,111.715,0.632867
30127,4,0,92,175.9,175.85,225.35,286.0,14002.81975,0,1,24,1,4,1,175.9,798.614702,13046.98704,100.366667,0.0,131.4,1,32,0,0,0,13,215.775,45.296944,36.7,0.333333,0.046955000000000004,0.37946199999999997,0.088036,0.47169799999999995,0.009065,0.045876,0.080515,0.021812,0.0,0.020184999999999998,0.323232,0.0,0.0,0,1,0,0,6PiGEThejz1Fd7c8,30.35,0.6174970000000001
30239,4,0,50,175.92,185.38,176.0,176.0,5061.154616,0,1,24,1,4,2,185.38,0.0,3278.132028,38.45,0.0,116.8,1,41,0,0,0,5,178.325,4.073337,0.026667000000000003,0.17948699999999998,0.038806,0.362867,0.03182,0.47169799999999995,0.009553,0.0,0.02023,0.008356,0.0,0.017942,0.414141,0.0,0.0,0,0,0,0,emp1gl4PRorXMtNO,-4.73,0.61087
30493,4,0,90,166.0,166.0,165.98,259.72,2077.446587,0,1,24,1,4,1,93.0,0.0,2077.528093,95.65,0.0,195.116667,1,37,0,0,0,13,189.425,40.584838,31.24,0.326007,0.041222,0.37699099999999997,0.013061000000000001,0.47169799999999995,0.004793,0.0,0.012821,0.020787,0.0,0.029973000000000003,0.373737,0.0,0.0,0,0,0,0,z98dHXEeakNMqwV0,46.87,0.620617
30629,4,0,134,91.33,27.6,27.65,26.45,806.1912530000001,0,0,0,0,4,1,100.0,74.191886,584.6552230000001,28.383333,0.0,29.883333,2,44,0,0,0,2,43.2575,27.758821,-21.626667,0.487179,0.009417,0.353069,0.005069,0.018868,0.0051530000000000005,0.004262,0.0036079999999999997,0.006168,0.0,0.0045899999999999995,0.44444399999999995,0.0,0.0,0,1,0,0,W1OXNry26igz5Ies,31.265,0.6176699999999999
30828,4,0,72,166.3,346.9,166.2,166.4,295.971123,0,0,0,0,4,1,200.0,0.0,5.662504,4.266667,0.0,24.9,2,28,0,0,0,13,211.45,78.202126,0.033333,0.260073,0.046014,0.36286999999999997,0.001861,0.018868,0.010306999999999998,0.0,3.5e-05,0.000927,0.0,0.003825,0.282828,0.0,0.0,0,0,0,0,vXWsuI3foF0eAUGO,-90.2,0.594724
31001,4,0,86,449.72,408.25,212.52,300.8,5701.075887,0,1,24,0,4,2,400.0,1496.831081,5536.923643,1581.533333,1263.0,420.916667,2,54,0,0,0,12,342.8225,92.806876,-49.64,0.311355,0.074599,0.34039200000000003,0.035843,0.47169799999999995,0.020613999999999997,0.085985,0.034169,0.34370700000000004,0.29831599999999997,0.06465800000000001,0.545455,0.0,0.0,1,1,0,0,RZiyK3bX9PtkJGHn,64.875,0.624019
31012,4,0,34,76.9,77.2,83.5,76.0,1629.213482,1,0,0,0,4,3,102.0,0.0,0.0,0.0,0.0,32.116667,2,24,0,0,0,6,78.4,2.977415,-0.3,0.120879,0.017063,0.362719,0.010243,0.018868,0.005256,0.0,0.0,0.0,0.0,0.004934,0.24242399999999997,0.0,0.0,0,0,0,0,WYXAQB7NihfJPRkM,-3.9,0.6110270000000001
31048,4,0,134,307.65,361.5,232.2,258.85,2.106162,0,1,24,0,4,3,100.05,0.0,2436.852284,253.783333,0.0,331.766667,1,43,0,0,0,14,290.05,49.332862,-16.266667,0.487179,0.06311699999999999,0.35549400000000003,1.3000000000000001e-05,0.47169799999999995,0.005156,0.0,0.015038,0.055153999999999995,0.0,0.050963999999999995,0.43434300000000003,0.0,0.0,0,0,0,0,xUZT4MCFWtswpqv0,-13.6,0.609194
31113,4,0,11,139.0,139.0,139.0,140.8,2765.80123,0,12,16,0,4,1,100.0,2048.0,1577.564539,23.716667,0.0,34.966667,0,28,0,0,0,5,139.45,0.779423,0.6,0.03663,0.030347000000000002,0.363126,0.017388999999999998,0.320755,0.0051530000000000005,0.117647,0.009734999999999999,0.005154,0.0,0.005371,0.282828,0.0,0.0,0,1,0,0,s0WKjLiP9OeZr54J,0.9,0.611933
31215,4,0,27,55.96,56.0,56.0,65.0,202.90289199999998,0,0,0,0,4,1,0.04,1200.0,202.90289199999998,10.316667,0.0,10.616667,1,0,0,0,0,2,58.24,3.9029220000000002,3.0133330000000003,0.095238,0.012676999999999999,0.364218,0.001276,0.018868,2e-06,0.06893400000000001,0.0012519999999999999,0.002242,0.0,0.0016309999999999999,0.0,0.0,0.0,0,1,0,0,1weWKusS5Rb6Vq7j,4.48,0.61261
31448,4,0,125,38.75,54.8,40.9,58.65,639.143521,0,12,31,0,4,2,150.0,272.086411,652.532554,48.65,11.0,80.633333,2,47,0,0,0,6,48.275,8.59262,6.633333,0.454212,0.010509000000000001,0.36585700000000004,0.004018,0.603774,0.00773,0.01563,0.004027,0.010573,0.002598,0.012386,0.47474700000000003,0.0,0.0,1,1,0,0,4BrqAMmEklhDfi18,0.85,0.611924
31624,4,0,59,335.5,211.0,141.0,226.05,2652.307072,0,9,12,0,4,3,500.0,0.0,0.0,0.0,369.533333,754.25,1,29,1,1,6000,14,228.3875,69.673259,-36.483333,0.212454,0.049699,0.346346,0.016675,0.245283,0.025767,0.0,0.0,0.0,0.087282,0.11586300000000001,0.292929,0.027027,0.010601000000000001,1,0,1,1,McluCkK0WEd938of,104.775,0.631556
31670,4,0,18,56.0,56.0,352.4,208.07,1153.9018,0,9,12,0,4,1,100.0,409.399679,1153.903435,0.0,0.0,0.0,2,29,0,0,0,6,168.1175,123.183714,50.69,0.06227100000000001,0.036585,0.385792,0.007254999999999999,0.245283,0.0051530000000000005,0.023518,0.007121,0.0,0.0,0.0,0.292929,0.0,0.0,0,1,0,0,Q5lGMJjnFHNbW0vr,-72.165,0.5981310000000001
31837,4,0,134,144.0,143.91,144.0,153.99,805.828268,0,1,24,0,4,2,300.0,5.035289,768.739676,16.383333,0.0,30.066667,1,43,0,0,0,5,146.475,4.338943,3.33,0.487179,0.031876,0.36436199999999996,0.005065999999999999,0.47169799999999995,0.01546,0.00028900000000000003,0.004744,0.003561,0.0,0.004619,0.43434300000000003,0.0,0.0,0,1,0,0,M5SLsO7RpY3Ug9bk,5.04,0.612716
31943,4,0,17,214.65,357.34,276.78,296.95,2998.263723,0,1,30,0,4,4,292.37,2048.0,2132.942105,17.083333,45.05,42.933333000000005,0,0,0,0,0,14,286.43,50.951912,27.433333,0.05860800000000001,0.062328999999999996,0.375269,0.01885,0.584906,0.015066999999999999,0.117647,0.013163,0.003713,0.010641,0.006595,0.0,0.0,0.0,1,1,0,0,Py2Fa9YLBN8lZWJQ,-61.26,0.600191
32006,4,0,75,152.16,230.6,23.6,282.3,0.0,0,1,30,0,4,2,0.02,0.0,659.6160000000001,99.916667,0.0,199.083333,1,27,1,4,41262,12,172.165,97.488623,43.38,0.27106199999999997,0.037466,0.38248499999999996,0.0,0.584906,1e-06,0.0,0.004071,0.021713999999999997,0.0,0.030581999999999998,0.272727,0.108108,0.072901,0,0,1,1,M7Ntx0rwK4XUgkeB,90.13,0.628789
32054,4,0,134,137.2,186.0,126.05,206.68,2664.918466,0,3,12,0,4,1,100.0,0.0,1971.4749010000003,189.1,37.416667,418.0,2,36,0,0,0,13,163.9825,33.406675,23.16,0.487179,0.035685,0.373335,0.016753999999999998,0.245283,0.0051530000000000005,0.0,0.012166,0.041096,0.008838,0.06421,0.363636,0.0,0.0,1,0,0,0,eLPMKpl2kFUJ1sHS,15.915,0.6147699999999999
32128,4,0,80,98.6,99.75,131.97,263.48,0.0,0,2,12,0,4,2,250.0,0.0,1236.681648,74.9,2.916667,131.683333,1,39,0,0,0,12,148.45,67.749915,54.96,0.289377,0.032306,0.387725,0.0,0.245283,0.012884,0.0,0.007631999999999999,0.016278,0.0006889999999999999,0.020228,0.393939,0.0,0.0,1,0,0,0,5J31vNrKLyUoxAig,65.18,0.6240760000000001
32242,4,0,16,666.75,586.8,390.9,572.7,9839.236414,1,9,12,0,4,2,600.0,8192.0,0.0,0.0,333.533333,419.166667,1,71,0,0,0,13,554.2875,100.919983,-31.35,0.05494500000000001,0.12061199999999998,0.348669,0.061860000000000005,0.245283,0.030920999999999997,0.470588,0.0,0.0,0.078779,0.06439,0.717172,0.0,0.0,1,1,0,0,0qaypOjXIw1gHtSP,130.875,0.636486
32275,4,0,61,208.99,172.51,189.1,449.0,1874.339743,1,0,0,0,4,3,500.01,0.0,0.0,0.0,0.0,105.566667,1,27,0,0,0,14,254.9,112.80546299999999,80.003333,0.21978000000000003,0.055467999999999996,0.399057,0.011784000000000001,0.018868,0.025768,0.0,0.0,0.0,0.0,0.016216,0.272727,0.0,0.0,0,0,0,0,DtvXrhUNqEM6z2VG,148.19,0.639757
32348,4,0,38,195.91,210.59,220.95,344.55,1794.7108489999998,1,0,0,0,4,4,350.09,0.0,1794.787182,76.483333,0.0,89.93333299999999,2,28,1,1,0,14,243.0,59.301099,49.546667,0.13553099999999998,0.052878999999999995,0.385275,0.011283,0.018868,0.018042,0.0,0.011076,0.016622,0.0,0.013815000000000001,0.282828,0.027027,0.0,0,0,1,0,rFBQ1vikHaVSXweM,54.46,0.622051
32381,4,0,80,218.25,177.5,164.0,183.65,606.649242,0,1,36,0,4,1,100.0,0.0,181.189599,35.866667,270.416667,252.8,1,52,0,0,0,14,185.85,20.010903,-11.533333,0.289377,0.040444,0.357636,0.003814,0.698113,0.0051530000000000005,0.0,0.001118,0.007795000000000001,0.063871,0.038833,0.525253,0.0,0.0,1,0,0,0,JajtodOVbhfzZec7,30.2,0.617468
32538,4,0,50,112.2,161.0,156.2,96.2,0.0,0,3,12,0,3,3,200.0,0.0,0.430514,0.0,0.0,140.283333,1,28,0,0,0,14,131.4,27.833792,-5.3333330000000005,0.17948699999999998,0.028595999999999996,0.360442,0.0,0.245283,0.010306999999999998,0.0,3e-06,0.0,0.0,0.021549000000000002,0.282828,0.0,0.0,0,0,0,0,cB4yV03Hx8Sshef2,-54.4,0.601487
32551,4,0,45,275.0,275.0,275.0,275.1,12937.040490000001,0,1,24,0,4,1,200.0,3072.0,12962.11737,27.183333,0.0,30.266666999999998,2,23,0,0,0,5,275.025,0.043301,0.033333,0.161172,0.059847000000000004,0.36286999999999997,0.081336,0.47169799999999995,0.010306999999999998,0.17647100000000002,0.07999099999999999,0.005908,0.0,0.004649,0.232323,0.0,0.0,0,1,0,0,yXYGe47oP8OhDtmE,0.05,0.611773
32575,4,0,45,222.23,271.0,340.34,195.97,3074.0,1,1,24,0,4,1,100.0,0.0,3950.984332,86.0,0.0,86.483333,2,39,0,0,0,12,257.385,54.942189,-8.753333,0.161172,0.056009,0.358894,0.019326,0.47169799999999995,0.0051530000000000005,0.0,0.024382,0.018690000000000002,0.0,0.013285,0.393939,0.0,0.0,0,0,0,0,cQHfia1C7SPyr8Fh,-96.57,0.593521
32593,4,0,33,85.4,27.3,26.05,27.95,180.90836399999998,0,0,0,0,4,2,50.0,450.0,0.002134,20.166667,0.0,85.333333,1,26,0,0,0,2,41.675,25.253873000000002,-19.15,0.11721600000000001,0.009072,0.354189,0.001137,0.018868,0.002577,0.02585,0.0,0.004383,0.0,0.013108000000000002,0.262626,0.0,0.0,0,1,0,0,fKXa295zpNAUHWrZ,30.0,0.6174310000000001
32629,4,0,55,285.0,285.0,284.95,401.15,0.0,0,1,24,0,4,2,500.0,0.0,3968.695175,16.966667,0.0,79.18333299999999,2,39,0,0,0,12,314.025,50.301646000000005,38.716667,0.197802,0.068333,0.380374,0.0,0.47169799999999995,0.025767,0.0,0.024491,0.0036869999999999997,0.0,0.012164,0.393939,0.0,0.0,0,0,0,0,Cj81Tv3riyuRdoxs,58.1,0.622739
32682,4,0,18,84.8,244.4,76.6,91.7,645.418626,1,0,0,0,4,1,100.0,0.0,634.982343,0.6,0.0,0.6,1,45,0,0,0,2,124.375,69.50231600000001,2.3,0.06227100000000001,0.027067,0.363896,0.004058,0.018868,0.0051530000000000005,0.0,0.003919,0.00013000000000000002,0.0,9.2e-05,0.454545,0.0,0.0,0,0,0,0,Vd10AbFmXUrxsolI,-72.25,0.598115
32759,4,0,77,236.15,232.65,188.0,266.4,0.0,1,12,36,0,4,2,300.05,0.0,149.233325,27.683333,384.233333,385.25,1,30,0,0,0,13,230.8,27.978764,10.083333,0.278388,0.050224,0.36741799999999997,0.0,0.698113,0.015463,0.0,0.000921,0.006016,0.090754,0.059179999999999996,0.30303,0.0,0.0,1,0,0,0,M3CcilsQwvWg7ukz,40.95,0.619499
32801,4,0,88,101.1,161.0,102.1,101.6,999.2756439999999,0,3,12,0,4,1,200.0,0.0,999.2288050000001,165.116667,0.0,215.2,1,32,0,0,0,5,116.45,25.723384,0.166667,0.318681,0.025343,0.36293000000000003,0.006282,0.245283,0.010306999999999998,0.0,0.006166,0.035884,0.0,0.033058,0.323232,0.0,0.0,0,0,0,0,fC3UqVSJ41XYOj2K,-30.2,0.606059
32849,4,0,6,300.69,87.35,126.1,97.72,6639.865152,0,3,12,0,4,2,105.0,0.0,8206.23447,14.583332999999998,0.0,18.983333,1,25,0,0,0,5,152.965,86.460601,-67.656667,0.018315,0.033288,0.33224000000000004,0.041745,0.245283,0.005411,0.0,0.050642,0.003169,0.0,0.002916,0.252525,0.0,0.0,0,0,0,0,3bLI16XczAwfysWF,92.48,0.629233
32886,4,0,40,101.5,101.5,101.5,101.8,0.0,0,12,26,0,4,1,200.0,0.0,1447.995252,52.61666700000001,0.0,64.716667,1,29,0,0,0,5,101.575,0.129904,0.1,0.14285699999999998,0.022106,0.3629,0.0,0.509434,0.010306999999999998,0.0,0.008936,0.011434999999999999,0.0,0.009941,0.292929,0.0,0.0,0,0,0,0,ivmuDpNSRTWFb9rV,0.15,0.611792
32935,4,0,85,577.7,429.07,861.08,393.38,4083.772902,1,1,24,0,4,2,300.07,0.0,4791.615215999999,173.25,126.96666699999999,207.216667,1,43,0,0,0,12,565.3075,184.224501,-61.44,0.307692,0.12301,0.33505300000000005,0.025675,0.47169799999999995,0.015463999999999999,0.0,0.02957,0.037652,0.029989,0.031831,0.43434300000000003,0.0,0.0,1,0,0,0,DVt1nZf6x72GINmS,-159.535,0.581627
32946,4,0,72,81.0,86.1,106.0,106.3,542.988876,0,1,24,0,4,4,225.0,570.838175,378.001236,50.216667,0.0,102.18333299999999,1,51,1,1,0,5,94.85,11.443448,8.433333,0.260073,0.020643,0.366671,0.003414,0.47169799999999995,0.011595000000000001,0.032792,0.002333,0.010912999999999999,0.0,0.015697,0.515152,0.027027,0.0,0,1,1,0,dYjxPne9XVQI8TOi,-2.4,0.61131
32972,4,0,94,0.0,136.0,136.0,136.3,0.005221,0,1,24,0,4,1,246.0,1024.0,0.0,0.166667,0.0,220.95,1,31,1,1,0,14,102.075,58.933156000000004,45.433333000000005,0.340659,0.022215000000000002,0.383414,0.0,0.47169799999999995,0.012676999999999999,0.058824,0.0,3.6e-05,0.0,0.033941000000000006,0.313131,0.027027,0.0,0,1,1,0,EGYAIsHj2OCgloLh,-67.85,0.598946
33018,4,0,134,137.65,131.4,140.3,142.0,1605.504801,0,1,24,0,4,1,100.0,0.0,1616.704533,134.666667,13.266667000000002,146.466667,1,46,0,0,0,4,137.8375,4.026999,1.45,0.487179,0.029997000000000003,0.36351100000000003,0.010094,0.47169799999999995,0.0051530000000000005,0.0,0.009977,0.029266000000000004,0.003134,0.022499,0.464646,0.0,0.0,1,0,0,0,buUncmk2LsG0JozO,3.975,0.612514
33074,4,0,200,331.77,369.4,307.66,423.67,1175.4552119999998,1,9,12,0,4,2,955.28,0.0,1479.593343,748.733333,579.083333,451.5,1,45,0,0,0,12,358.125,43.773779,30.633333,0.728938,0.077929,0.376717,0.007390000000000001,0.245283,0.04923,0.0,0.009131,0.162719,0.136777,0.069356,0.454545,0.0,0.0,1,0,0,0,0ROtgjLDuJYnFzey,39.19,0.619167
33530,4,0,30,72.2,41.9,36.25,46.1,803.5307240000001,1,0,0,0,4,2,40.0,0.0,770.480558,14.85,0.0,15.1,1,25,0,0,0,2,49.1125,13.780166,-8.7,0.106227,0.010690999999999999,0.35891799999999996,0.005052,0.018868,0.002061,0.0,0.004755,0.0032270000000000003,0.0,0.00232,0.252525,0.0,0.0,0,0,0,0,ZLbDRTHqOg7I9NsF,20.075,0.615556
33542,4,0,91,179.12,260.83,269.93,192.13,13811.97476,0,1,30,1,4,1,0.08,0.0,13841.27702,167.833333,19.15,150.183333,2,38,1,3,16620,0,225.5025,40.270632,4.336666999999999,0.32966999999999996,0.049072000000000005,0.364817,0.086836,0.584906,4e-06,0.0,0.08541699999999999,0.036474,0.004523,0.02307,0.383838,0.081081,0.029363999999999998,1,0,1,1,ibPHqZ4oNujADrLm,-79.755,0.596697
33566,4,0,47,106.95,168.26,173.6,100.35,602.458621,0,3,12,0,4,1,0.05,351.70896600000003,0.0,0.0,0.0,203.466667,1,32,0,0,0,5,137.29,33.773644,-2.2,0.168498,0.029876999999999997,0.36185900000000004,0.003788,0.245283,3e-06,0.020204,0.0,0.0,0.0,0.031255,0.323232,0.0,0.0,0,1,0,0,Rj352CTJKwGXvHEU,-67.28,0.599054
33602,4,0,37,91.0,91.0,111.1,144.34,229.248146,0,0,0,0,4,1,100.0,365.20921200000004,69.629723,4.35,0.0,79.6,2,31,0,0,0,4,109.36,21.799124,17.78,0.131868,0.0238,0.3709,0.001441,0.018868,0.0051530000000000005,0.020978999999999998,0.00043,0.0009449999999999999,0.0,0.012228,0.313131,0.0,0.0,0,1,0,0,Ce1TAUwsgHYSIGkz,16.62,0.614903
33826,4,0,25,102.35,111.0,140.92,104.69,1265.082959,1,6,12,0,4,2,100.0,0.0,0.0,0.0,0.0,230.2,1,27,0,0,0,5,114.74,15.442592000000001,0.78,0.087912,0.024971,0.363208,0.007954000000000001,0.245283,0.0051530000000000005,0.0,0.0,0.0,0.0,0.035362,0.272727,0.0,0.0,0,0,0,0,S2Mrwa507lbTCyg8,-22.44,0.607524
33857,4,0,38,64.3,703.3,64.0,282.05,13.946013,0,0,0,0,4,1,16.0,0.0,13.977264000000002,2.016667,0.0,2.016667,1,44,0,0,0,6,278.4125,260.94036800000003,72.583333,0.13553099999999998,0.060584000000000006,0.39569899999999997,8.8e-05,0.018868,0.000825,0.0,8.6e-05,0.00043799999999999997,0.0,0.00031,0.44444399999999995,0.0,0.0,0,0,0,0,E9hqR7bLleF3OxAc,-210.475,0.572004
33882,4,0,34,29.15,26.0,104.55,31.7,1288.992603,0,0,0,0,4,1,100.0,0.0,2023.780594,44.583333,8.183333,42.883333,1,26,0,0,0,2,47.85,32.797961,0.85,0.120879,0.010416,0.36324,0.008104,0.018868,0.0051530000000000005,0.0,0.012489,0.009689,0.0019329999999999998,0.006587000000000001,0.262626,0.0,0.0,1,0,0,0,f5KNPmyUrQWVApZS,-34.85,0.60518
33906,4,0,159,213.39,152.4,152.7,111.2,2409.796803,0,1,24,0,4,1,0.01,1024.0,2238.263342,113.266667,0.0,172.216667,1,42,0,0,0,14,157.4225,36.456851,-34.063333,0.578755,0.034258,0.347441,0.01515,0.47169799999999995,1e-06,0.058824,0.013812999999999999,0.024616,0.0,0.026455000000000003,0.424242,0.0,0.0,0,1,0,0,RYnZeLcryUNPQu0h,9.745,0.613604
33940,4,0,14,151.0,231.0,231.0,264.27,2372.355207,0,9,12,0,4,2,200.0,0.0,2350.479514,285.2,0.0,307.2,1,35,0,0,0,14,219.3175,41.716213,37.756667,0.047619,0.047726,0.37994,0.014915000000000001,0.245283,0.010306999999999998,0.0,0.014505,0.061980999999999994,0.0,0.047189999999999996,0.353535,0.0,0.0,0,0,0,0,ZMNtyDP1nTaE7sxV,-23.365,0.60735
34038,4,0,61,76.3,76.3,76.6,76.0,932.352592,0,1,24,0,4,2,80.0,400.0,0.0,0.0,0.0,148.416667,1,49,0,0,0,0,76.3,0.21213200000000001,-0.1,0.21978000000000003,0.016607,0.36280999999999997,0.005862,0.47169799999999995,0.004123,0.022978,0.0,0.0,0.0,0.022799,0.494949,0.0,0.0,0,1,0,0,gpAFI2rawm8h4d5X,-0.3,0.611707
34107,4,0,88,202.3,108.1,78.95,98.3,1505.23387,0,1,24,0,4,3,130.0,0.0,1505.23387,376.0,233.51666699999998,161.05,2,50,0,0,0,0,121.9125,47.582197,-34.666667,0.318681,0.026531,0.347168,0.009463,0.47169799999999995,0.006698999999999999,0.0,0.009289,0.081714,0.055156,0.024738999999999997,0.505051,0.0,0.0,1,0,0,0,OrY8EcDd72TzA4gi,56.775,0.6224890000000001
34127,4,0,61,206.75,181.8,116.0,76.0,2211.190702,1,0,0,0,4,2,200.0,0.0,0.0,0.0,181.283333,166.23333300000002,1,37,1,1,0,4,145.1375,51.887443,-43.583333,0.21978000000000003,0.031585,0.34313299999999997,0.013902000000000001,0.018868,0.010306999999999998,0.0,0.0,0.0,0.042818,0.025536,0.373737,0.027027,0.0,1,0,1,0,2bpxGHDsW07VZJLv,-7.525,0.610342
34194,4,0,66,106.18,129.34,156.2,108.48,1178.930524,1,3,12,0,4,3,150.02,0.0,0.0,0.0,0.0,81.533333,2,25,0,0,0,5,125.05,20.120688,0.766667,0.23809499999999997,0.027214,0.363202,0.007412,0.245283,0.007731,0.0,0.0,0.0,0.0,0.012525,0.252525,0.0,0.0,0,0,0,0,clshuCGq1ey2vpD4,-35.44,0.605069
34229,4,0,55,77.45,90.55,92.5,85.9,902.7973630000001,0,1,36,0,4,3,100.05,638.293916,404.903139,21.533333,7.3,147.95,1,27,0,0,0,0,86.6,5.801401,2.816667,0.197802,0.018848,0.364129,0.005676,0.698113,0.005156,0.036667,0.002499,0.00468,0.0017239999999999998,0.022727,0.272727,0.0,0.0,1,1,0,0,vSksoDb9zFjiXP1Z,-9.85,0.609903
34304,4,0,72,494.6,275.8,216.0,145.9,13416.04739,1,0,0,0,4,3,300.0,0.0,14073.55156,160.75,0.0,214.666667,1,30,0,0,0,14,283.075,130.491175,-116.233333,0.260073,0.061599,0.310258,0.084347,0.018868,0.01546,0.0,0.08685,0.034935,0.0,0.032976,0.30303,0.0,0.0,0,0,0,0,h9VK8rRCviekzP2Y,74.35,0.6258090000000001
34392,4,0,8,91.0,126.0,46.0,96.1,2165.791388,0,12,13,0,4,2,25.0,920.6212539999999,2174.697184,15.75,0.0,15.8,1,27,0,0,0,4,89.775,28.591990000000003,1.7,0.025641000000000004,0.019538999999999997,0.363624,0.013616,0.264151,0.001288,0.052885,0.01342,0.003423,0.0,0.002427,0.272727,0.0,0.0,0,1,0,0,zUeOgaLI4T5Q6ixl,7.55,0.61319
34565,4,0,16,26.0,138.95,50.9,35.8,0.507753,0,0,0,0,4,1,30.0,0.0,0.507754,3.2833330000000003,0.0,3.2833330000000003,1,27,0,0,0,2,62.9125,44.787335999999996,3.266667,0.05494500000000001,0.013694,0.364333,3e-06,0.018868,0.001546,0.0,3e-06,0.000714,0.0,0.000504,0.272727,0.0,0.0,0,0,0,0,ms2PIx7Gq6kN1goW,-64.025,0.599669
34576,4,0,134,49.15,51.25,76.0,96.85,576.481741,1,0,0,0,4,1,50.0,0.0,580.519535,121.55,139.55,46.066666999999995,1,39,0,0,0,1,68.3125,19.569216,15.9,0.487179,0.014869,0.37005,0.003624,0.018868,0.002577,0.0,0.003582,0.026416000000000002,0.032961000000000004,0.007076000000000001,0.393939,0.0,0.0,1,0,0,0,p4wlaXGTU2bNkWou,9.375,0.613534
34649,4,0,72,222.35,161.6,195.95,318.25,2891.919634,0,1,24,1,4,1,200.0,727.634093,175.99239599999999,0.633333,143.45,411.633333,1,38,0,0,0,14,224.5375,58.234852000000004,31.966666999999998,0.260073,0.048862,0.37732,0.018182,0.47169799999999995,0.010306999999999998,0.041799,0.001086,0.000138,0.033882,0.06323200000000001,0.383838,0.0,0.0,1,1,0,0,APSWpi31K2vNUZxs,91.525,0.629053
34709,4,0,134,37.57,37.13,59.46,62.89,1888.329461,0,0,0,1,4,1,50.0,300.37755,1887.0694579999997,10.133333,0.0,10.133333,1,53,0,0,0,1,49.2625,11.975077,8.44,0.487179,0.010723,0.366674,0.011872,0.018868,0.002577,0.017255,0.011645,0.002202,0.0,0.001557,0.535354,0.0,0.0,0,1,0,0,uQjZIWCSXD45l39L,1.935,0.612129
34842,4,0,58,198.85,267.75,241.0,145.9,3993.2165520000003,1,1,24,0,4,3,200.0,0.0,3101.3837359999998,47.683333000000005,16.466667,138.75,2,25,0,0,0,4,213.375,46.053318,-17.65,0.20879099999999998,0.046432999999999995,0.35486799999999996,0.025106,0.47169799999999995,0.010306999999999998,0.0,0.019139,0.010362999999999999,0.003889,0.021314,0.252525,0.0,0.0,1,0,0,0,yJUHmBkn9fp45zas,-82.0,0.5962729999999999
35031,4,0,37,104.0,185.15,180.5,169.25,5023.411725,0,0,0,0,4,3,80.0,6144.0,5050.766567000001,19.166667,14.666667000000002,26.016667,1,26,0,0,0,1,159.725,32.688043,21.75,0.131868,0.034759,0.372697,0.031582,0.018868,0.004123,0.352941,0.031169,0.004164999999999999,0.003464,0.003997,0.262626,0.0,0.0,1,1,0,0,PbL2jGa9oRyE74ic,-46.2,0.603036
35094,4,0,78,107.1,147.1,297.1,208.6,771.699578,0,0,0,1,4,4,350.0,0.0,196.524436,0.416667,120.55,141.416667,1,40,0,0,0,0,189.975,71.640051,33.833333,0.282051,0.041341,0.37816500000000003,0.004852,0.018868,0.018037,0.0,0.001213,9.1e-05,0.028473000000000002,0.021723,0.40404,0.0,0.0,1,0,0,0,aYKUE0cnXW7xjPqm,-64.25,0.599626
